filename,county,announcement_type,crime_type
media_news_ca-assembly-approves-animal-protection-bill-co-sponsored-la-county-district-attorney-s.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011Cbume6zW5EcGJA6HtN9dL'}"
media_news_carmax-pay-11-m-settle-consumer-protection-lawsuit.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011Cbume7ZjHDbGa1rgstGfa'}"
media_news_charged-murderer-pleads-not-guilty-shooting-death-caltech-scientist.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011Cbume89x8u5wa3kXKwVhT'}"
media_news_correctional-officer-suspected-drug-trafficker-charged-smuggling-cocaine-los-angeles.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011Cbume8nehZKcjM1BT76J9'}"
media_news_district-attorney-hochman-honors-three-courageous-individuals-their-roles-securing.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011Cbume9Qrw3WqThWLdmgan'}"
media_news_district-attorney-hochman-law-enforcement-fifa-discuss-public-safety-preparedness.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbumeA24ryeCvLvhrKtNQ'}"
media_news_federal-jury-convicts-four-ms-13-members-triple-murder.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbumeAboJEDyUEgHzAqxM'}"
media_news_felony-charges-filed-against-former-lausd-employee-and-vendor-owner-alleged-22-million.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbumeBBmfhiWUMfH4HY6j'}"
media_news_five-gang-members-found-guilty-their-roles-pair-2023-robberies-which-three-people-were.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbumeBuveesHFv6FZbvm9'}"
media_news_former-chp-officer-motorist-charged-connection-killing-four-people-fiery-dui-collision.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbumeDE3spkG1YcArr7jf'}"
media_news_former-medical-examiner-investigator-pleads-no-contest-stealing-deceased.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbumeEqYMX6xiQrUJFJn2'}"
media_news_former-mga-entertainment-employee-charged-stealing-over-1-million-diecast-collectibles.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbumeFaw1GReoCBD3iRhF'}"
media_news_former-state-hospital-police-chief-officer-charged-felony-timecard-fraud-scheme.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbumeGSHUEwNZYSafLdhx'}"
media_news_former-ucla-doctor-james-heaps-pleads-guilty-sexual-assaults-sentenced-over-decade-prison.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbumeH2WBei1ed3Xz6x3k'}"
media_news_general-motors-pay-1275m-settle-california-consumer-protection-lawsuit-alleging-data.txt,los_angeles_ca,ERROR,"Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011CbumeJDwGvy5wRi3r3dVx'}"
